video_id,comments_disabled,ratings_disabled,video_error_or_removed,likes_log,label,dislikes_log,comment_log,num_tags,desc_len,len_title,country_CA,country_FR,country_IN,country_US,category_Autos & Vehicles,category_Comedy,category_Education,category_Entertainment,category_Film & Animation,category_Gaming,category_Howto & Style,category_Movies,category_Music,category_News & Politics,category_Nonprofits & Activism,category_People & Blogs,category_Pets & Animals,category_Science & Technology,category_Shows,category_Sports,category_Trailers,category_Travel & Events,publish_weekday_1,publish_weekday_2,publish_weekday_3,publish_weekday_4,publish_weekday_5,publish_weekday_6,publish_weekday_7
Jwa0Qh1muyA,True,False,False,4.477336814478207,10.968543057675396,3.4657359027997265,0.0,16,403,85,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
SDG5U00mS_U,False,False,False,5.459585514144159,9.456497077599392,3.1354942159291497,3.8501476017100575,29,717,61,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5zHIyadCwwE,False,False,False,10.28609336649821,11.940706379561808,6.621405651764134,7.488852955733459,39,942,97,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
Uf_rqW2yTgs,False,False,False,4.02535169073515,11.236433878154097,3.58351893845611,1.6094379124341005,20,283,97,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
tzlF8oZd2BU,False,False,False,8.276903481267057,12.50467240257976,5.968707559985366,6.46302945692067,13,160,67,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3QsBs8JM3sM,False,False,False,10.44123744323998,13.675008641876085,7.183870715062453,8.434897948689407,10,135,74,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2Vv-BfVoq4g,False,False,False,14.306619274759994,17.32776091246296,9.956222307519994,11.351206215643018,10,1250,43,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
hJ6nM40tuKQ,False,False,False,8.226840890408578,12.252989627817923,4.77912349311153,5.5053315359323625,0,177,95,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3BF-iAMjciE,False,False,False,2.8903717578961645,10.535211354858648,0.0,1.791759469228055,21,68,38,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
_Qh5u5U9h80,False,False,False,8.288785810426928,13.087440614815064,5.517452896464707,6.744059186311348,23,295,29,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6I2yAoxBRtI,False,False,False,8.076826031298808,12.10690403153316,5.407171771460119,6.249975242259483,24,2137,85,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
u84lPMD6UaE,False,False,False,6.045005314036012,11.897235031005602,3.970291913552122,1.791759469228055,10,457,82,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
qgasli1u-Ag,False,False,False,8.235360643753348,11.59372173479832,8.584851839890053,7.820840879907344,25,937,41,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
UtqE056lqas,False,False,False,5.488937726156687,11.270191263891014,2.4849066497880004,2.6390573296152584,10,766,76,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ZJaR1RPrvkA,False,False,False,7.2254814727822945,12.293071105769716,5.3706380281276624,4.77912349311153,28,457,89,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7HTw1Jz5lcQ,False,False,False,6.340359303727752,11.548929471604415,4.204692619390966,4.343805421853684,8,24,83,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
d380meD0W0M,False,False,False,11.792358608363598,14.555413453652532,7.595889917718538,9.771041285235825,14,636,24,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
NgEgYjvh6rE,False,False,False,10.14305548226448,13.830128197787657,6.79346613258001,6.93828448401696,45,1062,70,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
yqV4godQ7Xk,False,False,False,7.664815785285735,12.531956883745758,4.736198448394496,6.289715570908998,18,2334,93,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Svdb9YT86vc,False,False,False,5.971261839790462,11.604419280803642,4.30406509320417,2.9444389791664403,20,468,100,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
_bNrVP6CCfs,False,False,False,8.59711281459211,12.63913670782912,7.51425465281641,6.343880434126331,10,299,55,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
h6Z9mmSNJcw,True,False,False,7.13966033596492,12.608195507885624,5.918893854273146,0.0,9,2125,100,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
FBzjw0yPup0,False,False,False,9.846493831016009,13.525491089262331,6.90975328164481,7.639642287858013,8,755,43,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
A_XgvSkbCvM,False,False,False,5.662960480135946,9.741380302992413,1.0986122886681098,2.4849066497880004,23,49,98,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
uzcHSrzwp9I,False,False,False,7.4489161025442,12.841519206459644,5.14166355650266,4.02535169073515,19,867,98,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
B6IxqP9z9XE,False,False,False,7.47477218239787,11.807890948868268,4.653960350157523,6.082218910376446,30,832,77,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
BwIw80nybkU,False,False,False,7.0630481633881725,12.534800687417956,5.093750200806762,4.477336814478207,30,2309,100,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
